"Time","fever"," cough"," diarrhea"," vomiting"," rash"
"2021-03-01",39,22,6,11,6
"2021-04-01",100,54,10,13,6
"2021-05-01",85,53,10,13,7
"2021-06-01",46,20,7,10,6
"2021-07-01",43,23,6,10,6
"2021-08-01",53,28,6,10,6
"2021-09-01",50,30,5,9,5
"2021-10-01",47,28,5,9,5
"2021-11-01",41,31,5,10,6
"2021-12-01",32,29,6,10,5
"2022-01-01",69,57,6,12,6
"2022-02-01",35,24,7,11,6
"2022-03-01",31,21,8,11,6
"2022-04-01",34,22,8,11,5
"2022-05-01",38,20,8,11,6
"2022-06-01",47,24,8,11,6
"2022-07-01",62,32,7,12,6
"2022-08-01",66,33,7,11,6
"2022-09-01",63,32,5,10,6
"2022-10-01",53,39,6,10,6
"2022-11-01",49,36,6,10,7
"2022-12-01",44,45,6,11,6
"2023-01-01",48,46,7,12,6
"2023-02-01",55,48,8,13,6
"2023-03-01",51,39,8,12,6
"2023-04-01",45,26,8,12,6
"2023-05-01",32,18,7,11,5
"2023-06-01",37,20,8,11,6
"2023-07-01",48,24,8,11,6
"2023-08-01",63,32,7,11,7
"2023-09-01",66,35,7,10,7
"2023-10-01",63,37,6,10,7
"2023-11-01",47,39,6,11,7
"2023-12-01",44,40,7,12,7
"2024-01-01",40,39,7,12,6
"2024-02-01",42,37,7,11,7
"2024-03-01",39,29,7,10,6
"2024-04-01",32,20,7,10,6
"2024-05-01",31,15,7,10,6
"2024-06-01",33,14,8,10,6
"2024-07-01",52,20,8,10,7
"2024-08-01",58,25,7,10,8
"2024-09-01",60,31,6,10,8
"2024-10-01",49,33,5,9,7
"2024-11-01",47,34,6,10,8
"2024-12-01",37,38,6,10,6
"2025-01-01",38,35,7,11,6
"2025-02-01",39,37,7,11,6
"2025-03-01",36,29,7,11,6
"2025-04-01",31,20,7,10,6
"2025-05-01",36,18,6,10,6
"2025-06-01",40,17,7,10,6
"2025-07-01",44,22,6,10,6
"2025-08-01",58,30,6,9,6
"2025-09-01",50,33,5,9,6
"2025-10-01",41,42,5,9,6
"2025-11-01",39,38,5,10,7
"2025-12-01",35,43,6,11,6
"2026-01-01",41,37,6,12,6
"2026-02-01",40,36,7,12,7
"2026-03-01",35,30,6,11,6
