"Time","joint pain"," muscle pain"," abdominal pain"," nausea"," night sweats"
"2021-03-01",37,35,39,70,2
"2021-04-01",41,42,45,94,3
"2021-05-01",43,53,56,100,3
"2021-06-01",43,45,48,78,2
"2021-07-01",35,35,41,70,2
"2021-08-01",34,34,37,66,2
"2021-09-01",47,33,34,61,2
"2021-10-01",33,31,36,58,2
"2021-11-01",34,31,34,56,2
"2021-12-01",34,31,35,60,3
"2022-01-01",33,33,38,72,5
"2022-02-01",35,35,41,65,3
"2022-03-01",40,39,44,65,2
"2022-04-01",37,38,43,60,2
"2022-05-01",35,35,43,67,2
"2022-06-01",37,38,44,64,2
"2022-07-01",34,37,43,69,2
"2022-08-01",38,39,43,65,2
"2022-09-01",41,39,41,63,2
"2022-10-01",37,35,40,62,2
"2022-11-01",39,37,39,61,2
"2022-12-01",36,34,38,61,2
"2023-01-01",36,36,40,65,3
"2023-02-01",36,40,43,68,3
"2023-03-01",39,41,42,66,2
"2023-04-01",36,40,41,58,2
"2023-05-01",35,38,38,56,2
"2023-06-01",40,41,42,62,2
"2023-07-01",41,43,43,60,2
"2023-08-01",44,45,42,66,2
"2023-09-01",44,44,41,64,2
"2023-10-01",46,42,39,59,2
"2023-11-01",41,40,39,59,2
"2023-12-01",39,37,41,62,2
"2024-01-01",35,39,36,60,3
"2024-02-01",35,38,37,58,3
"2024-03-01",35,38,37,53,2
"2024-04-01",33,34,33,55,2
"2024-05-01",34,35,33,51,2
"2024-06-01",31,36,33,56,2
"2024-07-01",38,37,41,58,1
"2024-08-01",41,39,33,57,2
"2024-09-01",45,41,35,57,2
"2024-10-01",45,38,31,55,2
"2024-11-01",42,34,33,53,2
"2024-12-01",36,37,31,55,2
"2025-01-01",36,35,33,58,3
"2025-02-01",36,38,34,58,3
"2025-03-01",36,39,37,56,2
"2025-04-01",34,37,34,52,2
"2025-05-01",33,37,30,47,1
"2025-06-01",35,40,35,56,2
"2025-07-01",35,37,33,56,1
"2025-08-01",36,38,32,52,1
"2025-09-01",36,34,29,48,1
"2025-10-01",34,36,29,45,2
"2025-11-01",37,40,33,49,3
"2025-12-01",35,35,35,58,3
"2026-01-01",33,33,32,59,2
"2026-02-01",35,36,34,59,3
"2026-03-01",40,42,37,55,2
