"Time","weight loss"," chest pain"," runny nose"," loss of smell"," dehydration"
"2021-03-01",89,16,3,3,6
"2021-04-01",80,27,4,15,7
"2021-05-01",94,41,4,9,7
"2021-06-01",100,23,2,2,6
"2021-07-01",91,18,3,1,6
"2021-08-01",79,15,4,1,5
"2021-09-01",74,18,4,1,5
"2021-10-01",61,15,3,1,5
"2021-11-01",65,17,3,1,5
"2021-12-01",63,15,3,1,5
"2022-01-01",66,18,4,2,5
"2022-02-01",78,16,2,1,7
"2022-03-01",81,16,3,0,8
"2022-04-01",74,15,3,0,9
"2022-05-01",80,15,2,0,8
"2022-06-01",80,17,3,0,7
"2022-07-01",71,16,3,0,6
"2022-08-01",70,16,3,0,5
"2022-09-01",71,16,3,0,6
"2022-10-01",64,16,4,0,5
"2022-11-01",71,16,3,0,5
"2022-12-01",64,17,3,0,6
"2023-01-01",69,17,3,0,6
"2023-02-01",75,18,3,0,8
"2023-03-01",73,19,3,0,7
"2023-04-01",76,17,3,0,8
"2023-05-01",74,15,2,0,7
"2023-06-01",87,18,2,0,7
"2023-07-01",78,18,3,0,6
"2023-08-01",77,19,3,0,6
"2023-09-01",68,18,3,0,5
"2023-10-01",68,18,3,0,5
"2023-11-01",67,17,3,0,5
"2023-12-01",69,18,3,0,6
"2024-01-01",69,18,3,0,6
"2024-02-01",65,18,3,0,6
"2024-03-01",64,17,3,0,7
"2024-04-01",63,16,2,0,9
"2024-05-01",55,15,1,0,9
"2024-06-01",61,15,2,0,7
"2024-07-01",65,17,2,0,5
"2024-08-01",61,17,2,0,5
"2024-09-01",61,17,3,0,6
"2024-10-01",52,18,3,0,5
"2024-11-01",62,17,3,0,5
"2024-12-01",53,17,3,0,5
"2025-01-01",59,17,3,0,6
"2025-02-01",58,18,3,0,6
"2025-03-01",65,18,2,0,8
"2025-04-01",61,17,2,0,7
"2025-05-01",61,16,2,0,6
"2025-06-01",65,18,2,0,6
"2025-07-01",63,20,2,0,5
"2025-08-01",58,18,3,0,5
"2025-09-01",53,17,3,0,6
"2025-10-01",48,16,3,0,5
"2025-11-01",65,18,3,0,6
"2025-12-01",61,17,3,0,7
"2026-01-01",63,17,3,0,7
"2026-02-01",65,16,3,0,11
"2026-03-01",60,16,2,0,9
